city,year,crime,incidences,rate
Jabalpur,2014,Murder,1,0.1
Jabalpur,2014,Total Rape,113,18.7
Jaipur,2014,Attempt to rape,108,3.5
Jaipur,2014,Attempt to commit C.H. Not Amounting To Murder,107,3.5
Jaipur,2014,Attempt To Commit Murder,6,0.2
Jaipur,2014,Murder,0,0
Jaipur,2014,Total Rape,263,18.1
Jamshedpur,2014,Attempt to rape,51,3.8
Jamshedpur,2014,Attempt to commit C.H. Not Amounting To Murder,33,2.5
Jamshedpur,2014,Attempt To Commit Murder,3,0.2
Jamshedpur,2014,Murder,0,0
Jamshedpur,2014,Total Rape,36,5.6
Jodhpur,2014,Attempt to rape,41,3.6
Jodhpur,2014,Attempt to commit C.H. Not Amounting To Murder,86,7.6
Jodhpur,2014,Attempt To Commit Murder,5,0.4
Jodhpur,2014,Murder,5,0.4
Jodhpur,2014,Total Rape,68,12.6
Kannur,2014,Attempt to rape,2,0.1
Kannur,2014,Attempt to commit C.H. Not Amounting To Murder,8,0.5
Kannur,2014,Attempt To Commit Murder,4,0.2
Kannur,2014,Murder,19,1.2
Kannur,2014,Total Rape,17,1.9
Kanpur,2014,Attempt to rape,56,1.9
Kanpur,2014,Attempt to commit C.H. Not Amounting To Murder,47,1.6
Kanpur,2014,Attempt To Commit Murder,11,0.4
Kanpur,2014,Murder,16,0.5
Kanpur,2014,Total Rape,19,1.4
Kochi,2014,Attempt to rape,13,0.6
Kochi,2014,Attempt to commit C.H. Not Amounting To Murder,29,1.4
Kochi,2014,Attempt To Commit Murder,2,0.1
Kochi,2014,Murder,2,0.1
Kochi,2014,Total Rape,64,6
Kolkata,2014,Attempt to rape,74,0.5
Kolkata,2014,Attempt to commit C.H. Not Amounting To Murder,101,0.7
Kolkata,2014,Attempt To Commit Murder,26,0.2
Kolkata,2014,Murder,0,0
Kolkata,2014,Total Rape,36,0.5
Kollam,2014,Attempt to rape,10,0.9
Kollam,2014,Attempt to commit C.H. Not Amounting To Murder,34,3.1
Kollam,2014,Attempt To Commit Murder,4,0.4
Kollam,2014,Murder,54,4.9
Kollam,2014,Total Rape,78,13.4
Kota,2014,Attempt to rape,19,1.9
Kota,2014,Attempt to commit C.H. Not Amounting To Murder,93,9.3
Kota,2014,Attempt To Commit Murder,1,0.1
Kota,2014,Murder,19,1.9
Kota,2014,Total Rape,100,21.2
Kozhikode,2014,Attempt to rape,8,0.4
Kozhikode,2014,Attempt to commit C.H. Not Amounting To Murder,13,0.6
Kozhikode,2014,Attempt To Commit Murder,2,0.1
Kozhikode,2014,Murder,34,1.7
Kozhikode,2014,Total Rape,35,3.3
Lucknow,2014,Attempt to rape,107,3.7
Lucknow,2014,Attempt to commit C.H. Not Amounting To Murder,67,2.3
Lucknow,2014,Attempt To Commit Murder,17,0.6
Lucknow,2014,Murder,17,0.6
Lucknow,2014,Total Rape,52,3.8
Ludhiana,2014,Attempt to rape,73,4.5
Ludhiana,2014,Attempt to commit C.H. Not Amounting To Murder,68,4.2
Ludhiana,2014,Attempt To Commit Murder,8,0.5
Ludhiana,2014,Murder,0,0
Ludhiana,2014,Total Rape,111,15
Madurai,2014,Attempt to rape,33,2.3
Madurai,2014,Attempt to commit C.H. Not Amounting To Murder,51,3.5
Madurai,2014,Attempt To Commit Murder,1,0.1
Madurai,2014,Murder,0,0
Madurai,2014,Total Rape,6,0.8
Malappuram,2014,Attempt to rape,3,0.2
Malappuram,2014,Attempt to commit C.H. Not Amounting To Murder,11,0.6
Malappuram,2014,Attempt To Commit Murder,2,0.1
Malappuram,2014,Murder,1,0.1
Malappuram,2014,Total Rape,10,1.1
Meerut,2014,Attempt to rape,93,6.5
Meerut,2014,Attempt to commit C.H. Not Amounting To Murder,129,9.1
Meerut,2014,Attempt To Commit Murder,11,0.8
Meerut,2014,Murder,12,0.8
Meerut,2014,Total Rape,40,6
Mumbai,2014,Attempt to rape,183,1
Mumbai,2014,Attempt to commit C.H. Not Amounting To Murder,181,1
Mumbai,2014,Attempt To Commit Murder,4,0
Mumbai,2014,Murder,1,0
Mumbai,2014,Total Rape,607,7.1
Nagpur,2014,Attempt to rape,103,4.1
Nagpur,2014,Attempt to commit C.H. Not Amounting To Murder,92,3.7
Nagpur,2014,Attempt To Commit Murder,5,0.2
Nagpur,2014,Murder,0,0
Nagpur,2014,Total Rape,113,9.2
Nasik,2014,Attempt to rape,26,1.7
Nasik,2014,Attempt to commit C.H. Not Amounting To Murder,30,1.9
Nasik,2014,Attempt To Commit Murder,0,0
Nasik,2014,Murder,0,0
Nasik,2014,Total Rape,28,3.8
Patna,2014,Attempt to rape,205,10
Patna,2014,Attempt to commit C.H. Not Amounting To Murder,16,0.8
Patna,2014,Attempt To Commit Murder,2,0.1
Patna,2014,Murder,0,0
Patna,2014,Total Rape,54,5.6
Pune,2014,Attempt to rape,138,2.7
Pune,2014,Attempt to commit C.H. Not Amounting To Murder,181,3.6
Pune,2014,Attempt To Commit Murder,9,0.2
Pune,2014,Murder,0,0
Pune,2014,Total Rape,189,7.9
Raipur,2014,Attempt to rape,29,2.6
Raipur,2014,Attempt to commit C.H. Not Amounting To Murder,71,6.3
Raipur,2014,Attempt To Commit Murder,2,0.2
Raipur,2014,Murder,0,0
Raipur,2014,Total Rape,88,16.2
Rajkot,2014,Attempt to rape,43,3.1
Rajkot,2014,Attempt to commit C.H. Not Amounting To Murder,43,3.1
Rajkot,2014,Attempt To Commit Murder,2,0.1
Rajkot,2014,Murder,0,0
Rajkot,2014,Total Rape,17,2.6
Ranchi,2014,Attempt to rape,61,5.4
Ranchi,2014,Attempt to commit C.H. Not Amounting To Murder,75,6.7
Ranchi,2014,Attempt To Commit Murder,0,0
Ranchi,2014,Murder,0,0
Ranchi,2014,Total Rape,46,8.5
Srinagar,2014,Attempt to rape,5,0.4
Srinagar,2014,Attempt to commit C.H. Not Amounting To Murder,34,2.7
Srinagar,2014,Attempt To Commit Murder,4,0.3
Srinagar,2014,Murder,0,0
Srinagar,2014,Total Rape,12,2
Surat,2014,Attempt to rape,85,1.9
Surat,2014,Attempt to commit C.H. Not Amounting To Murder,41,0.9
Surat,2014,Attempt To Commit Murder,8,0.2
Surat,2014,Murder,0,0
Surat,2014,Total Rape,94,4.8
Thiruvananthapuram,2014,Attempt to rape,13,0.8
Thiruvananthapuram,2014,Attempt to commit C.H. Not Amounting To Murder,23,1.4
Thiruvananthapuram,2014,Attempt To Commit Murder,2,0.1
Thiruvananthapuram,2014,Murder,131,7.8
Thiruvananthapuram,2014,Total Rape,56,6.4
Thrissur,2014,Attempt to rape,17,0.9
Thrissur,2014,Attempt to commit C.H. Not Amounting To Murder,17,0.9
Thrissur,2014,Attempt To Commit Murder,2,0.1
Thrissur,2014,Murder,31,1.7
Thrissur,2014,Total Rape,38,3.9
Tiruch irapalli,2014,Attempt to rape,24,2.3
Tiruch irapalli,2014,Attempt to commit C.H. Not Amounting To Murder,9,0.9
Tiruch irapalli,2014,Attempt To Commit Murder,0,0
Tiruch irapalli,2014,Murder,0,0
Tiruch irapalli,2014,Total Rape,3,0.6
Vadodara,2014,Attempt to rape,23,1.3
Vadodara,2014,Attempt to commit C.H. Not Amounting To Murder,37,2
Vadodara,2014,Attempt To Commit Murder,0,0
Vadodara,2014,Murder,3,0.2
Vadodara,2014,Total Rape,23,2.6
Varanasi,2014,Attempt to rape,24,1.7
Varanasi,2014,Attempt to commit C.H. Not Amounting To Murder,32,2.2
Varanasi,2014,Attempt To Commit Murder,12,0.8
Varanasi,2014,Murder,0,0
Varanasi,2014,Total Rape,27,4
Vasai Virar,2014,Attempt to rape,36,2.9
Vasai Virar,2014,Attempt to commit C.H. Not Amounting To Murder,17,1.4
Vasai Virar,2014,Attempt To Commit Murder,6,0.5
Vasai Virar,2014,Murder,0,0
Vasai Virar,2014,Total Rape,60,10.5
Vijayawada,2014,Attempt to rape,23,1.5
Vijayawada,2014,Attempt to commit C.H. Not Amounting To Murder,45,3
Vijayawada,2014,Attempt To Commit Murder,1,0.1
Vijayawada,2014,Murder,1,0.1
Vijayawada,2014,Total Rape,64,8.6
Vishakhapatnam,2014,Attempt to rape,38,2.2
Vishakhapatnam,2014,Attempt to commit C.H. Not Amounting To Murder,57,3.3
Vishakhapatnam,2014,Attempt To Commit Murder,0,0
Vishakhapatnam,2014,Murder,0,0
Vishakhapatnam,2014,Total Rape,84,9.8
Agra,2014,Kidnapping for Ransom (Section 364-A IPC),333,19.1
Agra,2014,Kidnapping & Abduction (Total),197,11.3
Agra,2014,Kidnapping & Abduction (Sec. 363 IPC),83,4.8
Ahmedabad,2014,Kidnapping for Ransom (Section 364-A IPC),367,5.8
Ahmedabad,2014,Kidnapping & Abduction (Total),102,1.6
Ahmedabad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Allahabad,2014,Kidnapping for Ransom (Section 364-A IPC),103,8.5
Allahabad,2014,Kidnapping & Abduction (Total),9,0.7
Allahabad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Amritsar,2014,Kidnapping for Ransom (Section 364-A IPC),78,6.6
Amritsar,2014,Kidnapping & Abduction (Total),3,0.3
Amritsar,2014,Kidnapping & Abduction (Sec. 363 IPC),3,0.3
Asansol,2014,Kidnapping for Ransom (Section 364-A IPC),104,8.4
Asansol,2014,Kidnapping & Abduction (Total),24,1.9
Asansol,2014,Kidnapping & Abduction (Sec. 363 IPC),3,0.2
Aurangabad,2014,Kidnapping for Ransom (Section 364-A IPC),63,5.3
Aurangabad,2014,Kidnapping & Abduction (Total),32,2.7
Aurangabad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Bengaluru,2014,Kidnapping for Ransom (Section 364-A IPC),708,8.3
Bengaluru,2014,Kidnapping & Abduction (Total),607,7.1
Bengaluru,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0
Bhopal,2014,Kidnapping for Ransom (Section 364-A IPC),290,15.4
Bhopal,2014,Kidnapping & Abduction (Total),0,0
Bhopal,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Chandigarh City,2014,Kidnapping for Ransom (Section 364-A IPC),167,16.3
Chandigarh City,2014,Kidnapping & Abduction (Total),101,9.8
Chandigarh City,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Chennai,2014,Kidnapping for Ransom (Section 364-A IPC),36,0.4
Chennai,2014,Kidnapping & Abduction (Total),12,0.1
Chennai,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0
Coimbatore,2014,Kidnapping for Ransom (Section 364-A IPC),14,0.7
Coimbatore,2014,Kidnapping & Abduction (Total),4,0.2
Coimbatore,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Delhi (City),2014,Kidnapping for Ransom (Section 364-A IPC),6016,36.9
Delhi (City),2014,Kidnapping & Abduction (Total),5596,34.3
Delhi (City),2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Dhanbad,2014,Kidnapping for Ransom (Section 364-A IPC),39,3.3
Dhanbad,2014,Kidnapping & Abduction (Total),0,0
Dhanbad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Durg-Bhilainagar,2014,Kidnapping for Ransom (Section 364-A IPC),222,20.9
Durg-Bhilainagar,2014,Kidnapping & Abduction (Total),115,10.8
Durg-Bhilainagar,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Faridabad,2014,Kidnapping for Ransom (Section 364-A IPC),384,27.3
Faridabad,2014,Kidnapping & Abduction (Total),3,0.2
Faridabad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Ghaziabad,2014,Kidnapping for Ransom (Section 364-A IPC),276,11.7
Ghaziabad,2014,Kidnapping & Abduction (Total),80,3.4
Ghaziabad,2014,Kidnapping & Abduction (Sec. 363 IPC),54,2.3
Gwalior,2014,Kidnapping for Ransom (Section 364-A IPC),189,17.2
Gwalior,2014,Kidnapping & Abduction (Total),68,6.2
Gwalior,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0.1
Flyderabad,2014,Kidnapping for Ransom (Section 364-A IPC),374,4.8
Flyderabad,2014,Kidnapping & Abduction (Total),235,3
Flyderabad,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Indore,2014,Kidnapping for Ransom (Section 364-A IPC),439,20.3
Indore,2014,Kidnapping & Abduction (Total),370,17.1
Indore,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0
Jabalpur,2014,Kidnapping for Ransom (Section 364-A IPC),359,28.3
Jabalpur,2014,Kidnapping & Abduction (Total),107,8.4
Jabalpur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Jaipur,2014,Kidnapping for Ransom (Section 364-A IPC),653,21.2
Jaipur,2014,Kidnapping & Abduction (Total),238,7.7
Jaipur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Jamshedpur,2014,Kidnapping for Ransom (Section 364-A IPC),64,4.8
Jamshedpur,2014,Kidnapping & Abduction (Total),8,0.6
Jamshedpur,2014,Kidnapping & Abduction (Sec. 363 IPC),2,0.1
Jodhpur,2014,Kidnapping for Ransom (Section 364-A IPC),108,9.5
Jodhpur,2014,Kidnapping & Abduction (Total),14,1.2
Jodhpur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kannur,2014,Kidnapping for Ransom (Section 364-A IPC),5,0.3
Kannur,2014,Kidnapping & Abduction (Total),0,0
Kannur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kanpur,2014,Kidnapping for Ransom (Section 364-A IPC),233,8
Kanpur,2014,Kidnapping & Abduction (Total),0,0
Kanpur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kochi,2014,Kidnapping for Ransom (Section 364-A IPC),4,0.2
Kochi,2014,Kidnapping & Abduction (Total),0,0
Kochi,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kolkata,2014,Kidnapping for Ransom (Section 364-A IPC),341,2.4
Kolkata,2014,Kidnapping & Abduction (Total),110,0.8
Kolkata,2014,Kidnapping & Abduction (Sec. 363 IPC),2,0
Kollam,2014,Kidnapping for Ransom (Section 364-A IPC),13,1.2
Kollam,2014,Kidnapping & Abduction (Total),0,0
Kollam,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kota,2014,Kidnapping for Ransom (Section 364-A IPC),187,18.7
Kota,2014,Kidnapping & Abduction (Total),35,3.5
Kota,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Kozhikode,2014,Kidnapping for Ransom (Section 364-A IPC),2,0.1
Kozhikode,2014,Kidnapping & Abduction (Total),1,0
Kozhikode,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Lucknow,2014,Kidnapping for Ransom (Section 364-A IPC),348,12
Lucknow,2014,Kidnapping & Abduction (Total),279,9.6
Lucknow,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Ludhiana,2014,Kidnapping for Ransom (Section 364-A IPC),246,15.2
Ludhiana,2014,Kidnapping & Abduction (Total),0,0
Ludhiana,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Madurai,2014,Kidnapping for Ransom (Section 364-A IPC),27,1.8
Madurai,2014,Kidnapping & Abduction (Total),4,0.3
Madurai,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Malappuram,2014,Kidnapping for Ransom (Section 364-A IPC),3,0.2
Malappuram,2014,Kidnapping & Abduction (Total),0,0
Malappuram,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Meerut,2014,Kidnapping for Ransom (Section 364-A IPC),233,16.4
Meerut,2014,Kidnapping & Abduction (Total),0,0
Meerut,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Mumbai,2014,Kidnapping for Ransom (Section 364-A IPC),541,2.9
Mumbai,2014,Kidnapping & Abduction (Total),451,2.4
Mumbai,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0
Nagpur,2014,Kidnapping for Ransom (Section 364-A IPC),145,5.8
Nagpur,2014,Kidnapping & Abduction (Total),97,3.9
Nagpur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Nasik,2014,Kidnapping for Ransom (Section 364-A IPC),59,3.8
Nasik,2014,Kidnapping & Abduction (Total),50,3.2
Nasik,2014,Kidnapping & Abduction (Sec. 363 IPC),3,0.2
Patna,2014,Kidnapping for Ransom (Section 364-A IPC),599,29.3
Patna,2014,Kidnapping & Abduction (Total),0,0
Patna,2014,Kidnapping & Abduction (Sec. 363 IPC),13,0.6
Pune,2014,Kidnapping for Ransom (Section 364-A IPC),228,4.5
Pune,2014,Kidnapping & Abduction (Total),106,2.1
Pune,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Raipur,2014,Kidnapping for Ransom (Section 364-A IPC),171,15.2
Raipur,2014,Kidnapping & Abduction (Total),145,12.9
Raipur,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0.1
Rajkot,2014,Kidnapping for Ransom (Section 364-A IPC),99,7.1
Rajkot,2014,Kidnapping & Abduction (Total),27,1.9
Rajkot,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Ranchi,2014,Kidnapping for Ransom (Section 364-A IPC),107,9.5
Ranchi,2014,Kidnapping & Abduction (Total),0,0
Ranchi,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Srinagar,2014,Kidnapping for Ransom (Section 364-A IPC),71,5.6
Srinagar,2014,Kidnapping & Abduction (Total),37,2.9
Srinagar,2014,Kidnapping & Abduction (Sec. 363 IPC),3,0.2
Surat,2014,Kidnapping for Ransom (Section 364-A IPC),263,5.7
Surat,2014,Kidnapping & Abduction (Total),123,2.7
Surat,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Thiruvananthapuram,2014,Kidnapping for Ransom (Section 364-A IPC),14,0.8
Thiruvananthapuram,2014,Kidnapping & Abduction (Total),10,0.6
Thiruvananthapuram,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Thrissur,2014,Kidnapping for Ransom (Section 364-A IPC),8,0.4
Thrissur,2014,Kidnapping & Abduction (Total),0,0
Thrissur,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Tiruch irapalli,2014,Kidnapping for Ransom (Section 364-A IPC),7,0.7
Tiruch irapalli,2014,Kidnapping & Abduction (Total),3,0.3
Tiruch irapalli,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Vadodara,2014,Kidnapping for Ransom (Section 364-A IPC),93,5.1
Vadodara,2014,Kidnapping & Abduction (Total),22,1.2
Vadodara,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Varanasi,2014,Kidnapping for Ransom (Section 364-A IPC),97,6.8
Varanasi,2014,Kidnapping & Abduction (Total),0,0
Varanasi,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Vasai Virar,2014,Kidnapping for Ransom (Section 364-A IPC),85,7
Vasai Virar,2014,Kidnapping & Abduction (Total),27,2.2
Vasai Virar,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Vijayawada,2014,Kidnapping for Ransom (Section 364-A IPC),42,2.8
Vijayawada,2014,Kidnapping & Abduction (Total),13,0.9
Vijayawada,2014,Kidnapping & Abduction (Sec. 363 IPC),1,0.1
Vishakhapatnam,2014,Kidnapping for Ransom (Section 364-A IPC),130,7.5
Vishakhapatnam,2014,Kidnapping & Abduction (Total),130,7.5
Vishakhapatnam,2014,Kidnapping & Abduction (Sec. 363 IPC),0,0
Agra,2014,Total Dacoity,0,0
Agra,2014,Others,7,0.4
Ahmedabad,2014,Total Dacoity,56,0.9
Ahmedabad,2014,Others,18,0.3
Allahabad,2014,Total Dacoity,42,3.5
Allahabad,2014,Others,2,0.2
Amritsar,2014,Total Dacoity,25,2.1
Amritsar,2014,Others,1,0.1
Asansol,2014,Total Dacoity,51,4.1
Asansol,2014,Others,5,0.4
Aurangabad,2014,Total Dacoity,15,1.3
Aurangabad,2014,Others,25,2.1
Bengaluru,2014,Total Dacoity,60,0.7
Bengaluru,2014,Others,51,0.6
Bhopal,2014,Total Dacoity,66,3.5
Bhopal,2014,Others,8,0.4
Chandigarh City,2014,Total Dacoity,26,2.5
Chandigarh City,2014,Others,4,0.4
Chennai,2014,Total Dacoity,5,0.1
Chennai,2014,Others,8,0.1
Coimbatore,2014,Total Dacoity,7,0.3
Coimbatore,2014,Others,5,0.2
Delhi (City),2014,Total Dacoity,384,2.4
Delhi (City),2014,Others,65,0.4
Dhanbad,2014,Total Dacoity,6,0.5
Dhanbad,2014,Others,7,0.6
Durg-Bhilainagar,2014,Total Dacoity,83,7.8
Durg-Bhilainagar,2014,Others,2,0.2
Faridabad,2014,Total Dacoity,191,13.6
Faridabad,2014,Others,7,0.5
Ghaziabad,2014,Total Dacoity,0,0
Ghaziabad,2014,Others,6,0.3
Gwalior,2014,Total Dacoity,88,8
Gwalior,2014,Others,5,0.5
Flyderabad,2014,Total Dacoity,132,1.7
Flyderabad,2014,Others,9,0.1
Indore,2014,Total Dacoity,19,0.9
Indore,2014,Others,1,0
Jabalpur,2014,Total Dacoity,157,12.4
Jabalpur,2014,Others,0,0
Jaipur,2014,Total Dacoity,317,10.3
Jaipur,2014,Others,3,0.1
Jamshedpur,2014,Total Dacoity,3,0.2
Jamshedpur,2014,Others,5,0.4
Jodhpur,2014,Total Dacoity,60,5.3
Jodhpur,2014,Others,0,0
Kannur,2014,Total Dacoity,2,0.1
Kannur,2014,Others,0,0
Kanpur,2014,Total Dacoity,171,5.9
Kanpur,2014,Others,3,0.1
Kochi,2014,Total Dacoity,3,0.1
Kochi,2014,Others,2,0.1
Kolkata,2014,Total Dacoity,101,0.7
Kolkata,2014,Others,3,0
Kollam,2014,Total Dacoity,5,0.5
Kollam,2014,Others,2,0.2
Kota,2014,Total Dacoity,49,4.9
Kota,2014,Others,1,0.1
Kozhikode,2014,Total Dacoity,1,0
Kozhikode,2014,Others,0,0
Lucknow,2014,Total Dacoity,1,0
Lucknow,2014,Others,1,0
Ludhiana,2014,Total Dacoity,133,8.2
Ludhiana,2014,Others,2,0.1
Madurai,2014,Total Dacoity,10,0.7
Madurai,2014,Others,4,0.3
Malappuram,2014,Total Dacoity,2,0.1
Malappuram,2014,Others,0,0
Meerut,2014,Total Dacoity,82,5.8
Meerut,2014,Others,8,0.6
Mumbai,2014,Total Dacoity,71,0.4
Mumbai,2014,Others,34,0.2
Nagpur,2014,Total Dacoity,2,0.1
Nagpur,2014,Others,16,0.6
Nasik,2014,Total Dacoity,2,0.1
Nasik,2014,Others,13,0.8
Patna,2014,Total Dacoity,216,10.6
Patna,2014,Others,28,1.4
Pune,2014,Total Dacoity,75,1.5
Pune,2014,Others,92,1.8
Raipur,2014,Total Dacoity,4,0.4
Raipur,2014,Others,2,0.2
Rajkot,2014,Total Dacoity,16,1.2
Rajkot,2014,Others,7,0.5
Ranchi,2014,Total Dacoity,13,1.2
Ranchi,2014,Others,5,0.4
